strategy,fast,slow,sharpe,maxdd,cagr,win_rate,profit_factor,trades,rsi_window,entry,exit,short_entry,short_exit,lookback,skip,top_n,gross_exposure
rsi_mr,,,0.09551868474441204,-6.776206567937985,0.0518161650882909,0.4470588235294118,0.48195925473649154,85.0,14.0,20.0,70.0,70.0,50.0,,,,
rsi_mr,,,0.0838332227984047,-177.8424466092876,0.19297102015823064,0.5345454545454545,0.9018055527231392,275.0,14.0,20.0,60.0,80.0,50.0,,,,
rsi_mr,,,0.07282267475738735,-1.0327253715942895,,0.4966887417218543,0.646968114523522,151.0,21.0,30.0,60.0,70.0,55.0,,,,
rsi_mr,,,0.028181952681887484,-11.040712552047198,0.19536277371322175,0.49206349206349204,0.4324471999981469,63.0,21.0,25.0,70.0,70.0,55.0,,,,
rsi_mr,,,0.012692248207981066,-1.0355785021752342,,0.5368421052631579,0.8839923735160063,285.0,14.0,25.0,70.0,70.0,55.0,,,,
rsi_mr,,,-0.03434202878322012,-1.4893752231972093,,0.4482758620689655,0.18036128515105027,29.0,21.0,30.0,70.0,70.0,50.0,,,,
rsi_mr,,,-0.04838307615156619,-15.694573366188813,,0.5073891625615764,0.8579570423915965,406.0,14.0,20.0,60.0,70.0,55.0,,,,
rsi_mr,,,-0.07475982908349899,-1.692786879661944,-0.8896347360504975,0.5245901639344263,0.49277010587117637,61.0,21.0,25.0,70.0,80.0,55.0,,,,
rsi_mr,,,-0.08818621764295875,-1.1231966043998367,-0.37384825148155243,0.5590277777777778,0.89539261007283,288.0,14.0,30.0,60.0,75.0,50.0,,,,
rsi_mr,,,-0.12648501578865384,-10.614300443738701,,0.5172413793103449,0.9311639682366474,203.0,14.0,20.0,70.0,80.0,50.0,,,,
rsi_mr,,,-0.1290004262163556,-1.7788378838920473,,0.5067873303167421,0.9127804590387392,221.0,14.0,20.0,70.0,75.0,50.0,,,,
rsi_mr,,,-0.14984685614314297,-1.0743479629721595,-0.03411429512979747,0.5421686746987951,0.9267856645039501,249.0,14.0,25.0,70.0,75.0,55.0,,,,
