Date,BuyHold_SPY,TSMOM_252d_Enhanced,TSMOM_63d_Enhanced,XAsset_MomRot
2018-03-23,2.801150005141974,6.548384041611985,6.102021405400538,2.4387511345919375
2018-03-26,2.8777876341263107,6.768187419488164,6.306842153276165,2.496127991256527
2018-03-27,2.828830442061047,6.630306428294474,6.178359652201803,2.4659779458843145
2018-03-28,2.8204722709245935,6.582200869690245,6.133533150509717,2.4644527867059005
2018-03-29,2.8565106920549694,6.702186291617685,6.24207553149149,2.4946842771748754
2018-04-02,2.7948539922552262,6.567740866407447,6.326158297728842,2.456857955886741
2018-04-03,2.8306757671372877,6.632769349183214,6.275885569688269,2.4768882912404826
2018-04-04,2.860961192940325,6.674589768305354,6.235596465084102,2.4870439590519484
2018-04-05,2.8835400686782,6.717884434523215,6.188091215230786,2.499087001577788
2018-04-06,2.8192778192190437,6.59282335874209,6.232291061099704,2.464190347062063
2018-04-09,2.8331725263596703,6.663571822244476,6.214827922060755,2.4741267690436484
2018-04-10,2.8782211135480895,6.817822373065991,6.201075639597827,2.5069765006183644
2018-04-11,2.863132889327661,6.820827843750455,6.25770056675146,2.5007943206864938
2018-04-12,2.8866882620467234,6.818939069114477,6.186289112857685,2.509206459059514
2018-04-13,2.878221113548089,6.8119015777369984,6.187557830867099,2.5004198694563806
2018-04-16,2.9018852767041827,6.843802131755323,6.164015806097092,2.5086051047239026
2018-04-17,2.932930366314944,6.899739039977196,6.12850854993348,2.521672897221226
2018-04-18,2.9351016888519803,6.966587973889412,6.14726940954095,2.5328211996259573
2018-04-19,2.9188199475517504,6.911479657837102,6.153259998783495,2.520984699106268
2018-04-20,2.8940690015762414,6.818823043958325,6.140213939535961,2.501435709607676
2018-04-23,2.893635522154462,6.770941250031307,6.106865763772319,2.4939826583551907
2018-04-24,2.8546659277541764,6.715424842338962,6.1526165087964095,2.4762710046906995
2018-04-25,2.861721604448647,6.681398166027939,6.121192878637294,2.470733419755125
2018-04-26,2.8908129523964337,6.756345322537903,6.104036727919956,2.4945812244652408
2018-04-27,2.8935263578671306,6.788439749298965,6.121384223116489,2.501160548355163
2018-04-30,2.8712736665152003,6.718539451444946,6.116828925680645,2.4861495210378872
2018-05-01,2.8763750407712485,6.602421500292047,6.210838769218355,2.480597479781182
2018-05-02,2.8570542703898254,6.513390727006493,6.294589220223483,2.467891331599125
2018-05-03,2.8507573228773304,6.574908937227974,6.248467090339366,2.466825908271111
2018-05-04,2.887664385177611,6.651915598920389,6.189628433404599,2.4849443592453553
2018-05-07,2.8974349627439753,6.6290589587412345,6.209720532602692,2.4829330372155054
2018-05-08,2.8974349627439753,6.6163236405070345,6.22755318595133,2.488032408160104
2018-05-09,2.9254404624980945,6.66977858831683,6.196129019315082,2.500621227164931
2018-05-10,2.952794901956372,6.862560653722491,6.027514585089485,2.5341433259080737
2018-05-11,2.961805068014415,6.885733034011921,5.994767162682112,2.5378005743372825
2018-05-14,2.9632165398185784,6.88415779299917,6.010797092034752,2.541087547087522
